train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
316.4801940917969,0,4,,,,,,
,0,5,142625.703125,241.44224548339844,,,,
,0,5,,,593433.125,508.08856201171875,,
401.5284423828125,1,9,,,,,,
,1,11,152145.03125,253.3671875,,,,
,1,11,,,197866.453125,293.54132080078125,,
237.46617126464844,2,14,,,,,,
,2,17,174707.625,275.8310241699219,,,,
,2,17,,,198236.390625,295.3605041503906,,
298.2218933105469,3,19,,,,,,
,3,23,129169.484375,237.71649169921875,,,,
,3,23,,,187909.125,278.7415771484375,,
243.15341186523438,4,24,,,,,,
191.2183380126953,4,29,,,,,,
,4,29,126571.6953125,238.17376708984375,,,,
,4,29,,,167877.5625,268.9442138671875,,
297.12060546875,5,34,,,,,,
,5,35,120986.2734375,240.04605102539062,,,,
,5,35,,,155934.640625,249.13526916503906,,
223.97119140625,6,39,,,,,,
,6,41,124723.5859375,257.3844909667969,,,,
,6,41,,,165650.40625,260.9058532714844,,
228.2169189453125,7,44,,,,,,
,7,47,122541.09375,241.36611938476562,,,,
,7,47,,,157569.296875,273.14520263671875,,
208.3643035888672,8,49,,,,,,
,8,53,128455.390625,247.90054321289062,,,,
,8,53,,,149449.625,256.8477783203125,,
277.59368896484375,9,54,,,,,,
445.2233581542969,9,59,,,,,,
,9,59,169408.296875,279.9803466796875,,,,
,9,59,,,142596.578125,240.69004821777344,,
227.33364868164062,10,64,,,,,,
,10,65,123469.4453125,249.58106994628906,,,,
,10,65,,,159625.34375,261.91400146484375,,
217.64315795898438,11,69,,,,,,
,11,71,130734.0703125,248.9748992919922,,,,
,11,71,,,115190.859375,227.88400268554688,,
203.5402374267578,12,74,,,,,,
,12,77,124659.234375,249.26393127441406,,,,
,12,77,,,128683.4765625,229.66761779785156,,
220.25637817382812,13,79,,,,,,
,13,83,142901.59375,260.12725830078125,,,,
,13,83,,,133888.828125,239.78424072265625,,
241.34811401367188,14,84,,,,,,
280.0442199707031,14,89,,,,,,
,14,89,130140.9375,248.60194396972656,,,,
,14,89,,,143986.40625,241.57315063476562,,
256.6103210449219,15,94,,,,,,
,15,95,124202.484375,248.4228973388672,,,,
,15,95,,,152462.15625,254.56080627441406,,
174.7924041748047,16,99,,,,,,
,16,101,131682.75,250.0890655517578,,,,
,16,101,,,154501.375,258.0218200683594,,
243.81915283203125,17,104,,,,,,
,17,107,153298.90625,266.7625427246094,,,,
,17,107,,,154570.375,262.9581604003906,,
211.6668701171875,18,109,,,,,,
,18,113,123772.296875,243.30857849121094,,,,
,18,113,,,147626.84375,259.492919921875,,
250.2736053466797,19,114,,,,,,
339.25958251953125,19,119,,,,,,
,19,119,117839.1171875,243.4977569580078,,,,
,19,119,,,131023.265625,242.87510681152344,,
294.6683044433594,20,124,,,,,,
,20,125,127577.7421875,247.79087829589844,,,,
,20,125,,,146098.453125,255.1660919189453,,
252.6837158203125,21,129,,,,,,
,21,131,117805.4375,242.42373657226562,,,,
,21,131,,,138902.84375,253.0830535888672,,
284.6207275390625,22,134,,,,,,
,22,137,129742.9921875,264.8168029785156,,,,
,22,137,,,115883.75,235.09133911132812,,
255.20582580566406,23,139,,,,,,
,23,143,120193.7421875,241.78775024414062,,,,
,23,143,,,136438.890625,247.02296447753906,,
226.328369140625,24,144,,,,,,
187.06915283203125,24,149,,,,,,
,24,149,125326.6171875,244.56825256347656,,,,
,24,149,,,96108.3046875,220.0224609375,,
226.24050903320312,25,154,,,,,,
,25,155,156956.28125,269.4717712402344,,,,
,25,155,,,138783.34375,238.1305389404297,,
202.34365844726562,26,159,,,,,,
,26,161,314440.9375,388.1416931152344,,,,
,26,161,,,149825.640625,251.06805419921875,,
280.387451171875,27,164,,,,,,
,27,167,116231.71875,239.57261657714844,,,,
,27,167,,,168440.546875,284.0038757324219,,
223.13958740234375,28,169,,,,,,
,28,173,120595.21875,239.51588439941406,,,,
,28,173,,,112212.59375,222.34365844726562,,
166.79263305664062,29,174,,,,,,
380.1343078613281,29,179,,,,,,
,29,179,132743.4375,272.2668762207031,,,,
,29,179,,,129668.4765625,234.64015197753906,,
238.50942993164062,30,184,,,,,,
,30,185,116072.390625,246.8767547607422,,,,
,30,185,,,153077.65625,257.58685302734375,,
174.8672637939453,31,189,,,,,,
,31,191,116043.1484375,240.0727081298828,,,,
,31,191,,,131817.859375,238.00592041015625,,
214.74856567382812,32,194,,,,,,
,32,197,117409.3671875,237.0249481201172,,,,
