epoch,step,train_mae_step,valid_mae,valid_loss,train_mae_epoch,train_loss,test_loss,test_mae
0,4,316.4801940917969,,,,,,
0,5,,241.44224548339844,142625.703125,,,,
0,5,,,,508.08856201171875,593433.125,,
1,9,401.5284423828125,,,,,,
1,11,,253.3671875,152145.03125,,,,
1,11,,,,293.54132080078125,197866.453125,,
2,14,237.46617126464844,,,,,,
2,17,,275.8310241699219,174707.625,,,,
2,17,,,,295.3605041503906,198236.390625,,
3,19,298.2218933105469,,,,,,
3,23,,237.71649169921875,129169.484375,,,,
3,23,,,,278.7415771484375,187909.125,,
4,24,243.15341186523438,,,,,,
4,29,191.2183380126953,,,,,,
4,29,,238.17376708984375,126571.6953125,,,,
4,29,,,,268.9442138671875,167877.5625,,
5,34,297.12060546875,,,,,,
5,35,,240.04605102539062,120986.2734375,,,,
5,35,,,,249.13526916503906,155934.640625,,
6,39,223.97119140625,,,,,,
6,41,,257.3844909667969,124723.5859375,,,,
6,41,,,,260.9058532714844,165650.40625,,
7,44,228.2169189453125,,,,,,
7,47,,241.36611938476562,122541.09375,,,,
7,47,,,,273.14520263671875,157569.296875,,
8,49,208.3643035888672,,,,,,
8,53,,247.90054321289062,128455.390625,,,,
8,53,,,,256.8477783203125,149449.625,,
9,54,277.59368896484375,,,,,,
9,59,445.2233581542969,,,,,,
9,59,,279.9803466796875,169408.296875,,,,
9,59,,,,240.69004821777344,142596.578125,,
10,64,227.33364868164062,,,,,,
10,65,,249.58106994628906,123469.4453125,,,,
10,65,,,,261.91400146484375,159625.34375,,
11,69,217.64315795898438,,,,,,
11,71,,248.9748992919922,130734.0703125,,,,
11,71,,,,227.88400268554688,115190.859375,,
12,74,203.5402374267578,,,,,,
12,77,,249.26393127441406,124659.234375,,,,
12,77,,,,229.66761779785156,128683.4765625,,
13,79,220.25637817382812,,,,,,
13,83,,260.12725830078125,142901.59375,,,,
13,83,,,,239.78424072265625,133888.828125,,
14,84,241.34811401367188,,,,,,
14,89,280.0442199707031,,,,,,
14,89,,248.60194396972656,130140.9375,,,,
14,89,,,,241.57315063476562,143986.40625,,
15,94,256.6103210449219,,,,,,
15,95,,248.4228973388672,124202.484375,,,,
15,95,,,,254.56080627441406,152462.15625,,
16,99,174.7924041748047,,,,,,
16,101,,250.0890655517578,131682.75,,,,
16,101,,,,258.0218200683594,154501.375,,
17,104,243.81915283203125,,,,,,
17,107,,266.7625427246094,153298.90625,,,,
17,107,,,,262.9581604003906,154570.375,,
18,109,211.6668701171875,,,,,,
18,113,,243.30857849121094,123772.296875,,,,
18,113,,,,259.492919921875,147626.84375,,
19,114,250.2736053466797,,,,,,
19,119,339.25958251953125,,,,,,
19,119,,243.4977569580078,117839.1171875,,,,
19,119,,,,242.87510681152344,131023.265625,,
20,124,294.6683044433594,,,,,,
20,125,,247.79087829589844,127577.7421875,,,,
20,125,,,,255.1660919189453,146098.453125,,
21,129,252.6837158203125,,,,,,
21,131,,242.42373657226562,117805.4375,,,,
21,131,,,,253.0830535888672,138902.84375,,
22,134,284.6207275390625,,,,,,
22,137,,264.8168029785156,129742.9921875,,,,
22,137,,,,235.09133911132812,115883.75,,
23,139,255.20582580566406,,,,,,
23,143,,241.78775024414062,120193.7421875,,,,
23,143,,,,247.02296447753906,136438.890625,,
24,144,226.328369140625,,,,,,
24,149,187.06915283203125,,,,,,
24,149,,244.56825256347656,125326.6171875,,,,
24,149,,,,220.0224609375,96108.3046875,,
25,154,226.24050903320312,,,,,,
25,155,,269.4717712402344,156956.28125,,,,
25,155,,,,238.1305389404297,138783.34375,,
26,159,202.34365844726562,,,,,,
26,161,,388.1416931152344,314440.9375,,,,
26,161,,,,251.06805419921875,149825.640625,,
27,164,280.387451171875,,,,,,
27,167,,239.57261657714844,116231.71875,,,,
27,167,,,,284.0038757324219,168440.546875,,
28,169,223.13958740234375,,,,,,
28,173,,239.51588439941406,120595.21875,,,,
28,173,,,,222.34365844726562,112212.59375,,
29,174,166.79263305664062,,,,,,
29,179,380.1343078613281,,,,,,
29,179,,272.2668762207031,132743.4375,,,,
29,179,,,,234.64015197753906,129668.4765625,,
30,184,238.50942993164062,,,,,,
30,185,,246.8767547607422,116072.390625,,,,
30,185,,,,257.58685302734375,153077.65625,,
31,189,174.8672637939453,,,,,,
31,191,,240.0727081298828,116043.1484375,,,,
31,191,,,,238.00592041015625,131817.859375,,
32,194,214.74856567382812,,,,,,
32,197,,237.0249481201172,117409.3671875,,,,
32,197,,,,206.42214965820312,90007.0859375,,
33,199,192.70492553710938,,,,,,
33,203,,235.81492614746094,113774.8125,,,,
33,203,,,,230.96461486816406,124103.953125,,
34,204,226.024658203125,,,,,,
34,209,167.79534912109375,,,,,,
